




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (3272)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (expected)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (over/under)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (fold Enrichment)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (raw P-value)	H3K27me3_K562.intersect_with_G4_seq_Li_KPDS.genes_uniq.txt (FDR)
cartilage development (GO:0051216)	153	54	24.31	+	2.22	2.05E-06	7.92E-05
inorganic ion import across plasma membrane (GO:0099587)	85	30	13.50	+	2.22	3.54E-04	7.53E-03
aminoglycan catabolic process (GO:0006026)	68	24	10.80	+	2.22	1.95E-03	3.19E-02
inorganic cation import across plasma membrane (GO:0098659)	85	30	13.50	+	2.22	3.54E-04	7.52E-03
digestive system development (GO:0055123)	136	48	21.61	+	2.22	7.36E-06	2.45E-04
regulation of cartilage development (GO:0061035)	71	25	11.28	+	2.22	1.45E-03	2.53E-02
ensheathment of neurons (GO:0007272)	108	38	17.16	+	2.21	8.32E-05	2.13E-03
axon ensheathment (GO:0008366)	108	38	17.16	+	2.21	8.32E-05	2.12E-03
cardiac chamber development (GO:0003205)	162	57	25.74	+	2.21	1.41E-06	5.57E-05
skin epidermis development (GO:0098773)	77	27	12.23	+	2.21	8.33E-04	1.59E-02
positive regulation of ion transport (GO:0043270)	297	104	47.19	+	2.20	5.73E-11	5.84E-09
regulation of epidermal cell differentiation (GO:0045604)	63	22	10.01	+	2.20	2.41E-03	3.74E-02
artery morphogenesis (GO:0048844)	63	22	10.01	+	2.20	2.41E-03	3.74E-02
regulation of system process (GO:0044057)	585	204	92.94	+	2.19	3.33E-20	1.32E-17
cardiac septum morphogenesis (GO:0060411)	66	23	10.49	+	2.19	2.79E-03	4.25E-02
actin-mediated cell contraction (GO:0070252)	89	31	14.14	+	2.19	4.26E-04	8.91E-03
locomotory behavior (GO:0007626)	181	63	28.76	+	2.19	4.59E-07	2.08E-05
regulation of muscle contraction (GO:0006937)	161	56	25.58	+	2.19	2.13E-06	8.15E-05
negative regulation of response to wounding (GO:1903035)	92	32	14.62	+	2.19	3.25E-04	7.00E-03
regulation of hemostasis (GO:1900046)	72	25	11.44	+	2.19	1.56E-03	2.67E-02
regulation of gliogenesis (GO:0014013)	98	34	15.57	+	2.18	1.96E-04	4.56E-03
cardiac muscle contraction (GO:0060048)	75	26	11.92	+	2.18	1.19E-03	2.16E-02
cardiac muscle tissue development (GO:0048738)	168	58	26.69	+	2.17	1.41E-06	5.57E-05
retina morphogenesis in camera-type eye (GO:0060042)	61	21	9.69	+	2.17	3.47E-03	4.99E-02
negative regulation of BMP signaling pathway (GO:0030514)	61	21	9.69	+	2.17	3.47E-03	4.98E-02
multicellular organismal response to stress (GO:0033555)	67	23	10.64	+	2.16	2.96E-03	4.42E-02
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	23	10.64	+	2.16	2.96E-03	4.42E-02
regulation of neurotransmitter transport (GO:0051588)	105	36	16.68	+	2.16	1.80E-04	4.23E-03
regulation of blood coagulation (GO:0030193)	70	24	11.12	+	2.16	2.23E-03	3.53E-02
pattern specification process (GO:0007389)	426	146	67.68	+	2.16	2.57E-14	4.68E-12
embryonic organ development (GO:0048568)	435	149	69.11	+	2.16	1.67E-14	3.10E-12
positive regulation of ion transmembrane transport (GO:0034767)	187	64	29.71	+	2.15	6.69E-07	2.86E-05
protein localization to cell junction (GO:1902414)	76	26	12.07	+	2.15	1.32E-03	2.33E-02
eye morphogenesis (GO:0048592)	152	52	24.15	+	2.15	7.84E-06	2.59E-04
negative regulation of wound healing (GO:0061045)	76	26	12.07	+	2.15	1.32E-03	2.33E-02
digestion (GO:0007586)	114	39	18.11	+	2.15	1.25E-04	3.05E-03
odontogenesis (GO:0042476)	120	41	19.06	+	2.15	7.06E-05	1.84E-03
cardiac ventricle development (GO:0003231)	123	42	19.54	+	2.15	5.41E-05	1.45E-03
sensory perception of light stimulus (GO:0050953)	220	75	34.95	+	2.15	8.04E-08	4.43E-06
positive regulation of synaptic transmission (GO:0050806)	135	46	21.45	+	2.14	2.78E-05	7.99E-04
regulation of striated muscle contraction (GO:0006942)	91	31	14.46	+	2.14	5.06E-04	1.04E-02
regulation of neurotransmitter levels (GO:0001505)	218	74	34.63	+	2.14	1.13E-07	6.03E-06
keratinization (GO:0031424)	227	77	36.06	+	2.14	5.20E-08	2.93E-06
regulation of ion transmembrane transporter activity (GO:0032412)	272	92	43.21	+	2.13	3.16E-09	2.30E-07
neural retina development (GO:0003407)	68	23	10.80	+	2.13	3.17E-03	4.64E-02
import across plasma membrane (GO:0098739)	139	47	22.08	+	2.13	2.31E-05	6.83E-04
hair cycle process (GO:0022405)	77	26	12.23	+	2.13	2.17E-03	3.46E-02
molting cycle process (GO:0022404)	77	26	12.23	+	2.13	2.17E-03	3.45E-02
signal release (GO:0023061)	157	53	24.94	+	2.12	7.06E-06	2.37E-04
embryonic heart tube development (GO:0035050)	80	27	12.71	+	2.12	1.62E-03	2.74E-02
artery development (GO:0060840)	89	30	14.14	+	2.12	7.17E-04	1.40E-02
connective tissue development (GO:0061448)	202	68	32.09	+	2.12	4.27E-07	1.95E-05
visual perception (GO:0007601)	217	73	34.48	+	2.12	1.68E-07	8.70E-06
actin filament-based movement (GO:0030048)	119	40	18.91	+	2.12	1.07E-04	2.67E-03
import into cell (GO:0098657)	176	59	27.96	+	2.11	3.39E-06	1.21E-04
skeletal system morphogenesis (GO:0048705)	224	75	35.59	+	2.11	1.61E-07	8.37E-06
cytosolic calcium ion transport (GO:0060401)	90	30	14.30	+	2.10	7.93E-04	1.53E-02
chemical synaptic transmission (GO:0007268)	414	138	65.77	+	2.10	7.45E-13	1.06E-10
canonical Wnt signaling pathway (GO:0060070)	84	28	13.35	+	2.10	1.31E-03	2.33E-02
columnar/cuboidal epithelial cell differentiation (GO:0002065)	78	26	12.39	+	2.10	2.28E-03	3.59E-02
oligodendrocyte differentiation (GO:0048709)	69	23	10.96	+	2.10	3.45E-03	4.98E-02
anterograde trans-synaptic signaling (GO:0098916)	414	138	65.77	+	2.10	7.45E-13	1.05E-10
mesoderm morphogenesis (GO:0048332)	69	23	10.96	+	2.10	3.45E-03	4.97E-02
limb morphogenesis (GO:0035108)	141	47	22.40	+	2.10	3.99E-05	1.11E-03
appendage morphogenesis (GO:0035107)	141	47	22.40	+	2.10	3.99E-05	1.11E-03
skin development (GO:0043588)	385	128	61.17	+	2.09	7.50E-12	8.72E-10
limb development (GO:0060173)	175	58	27.80	+	2.09	4.98E-06	1.73E-04
appendage development (GO:0048736)	175	58	27.80	+	2.09	4.98E-06	1.73E-04
neuron projection guidance (GO:0097485)	278	92	44.17	+	2.08	7.16E-09	4.74E-07
adult behavior (GO:0030534)	133	44	21.13	+	2.08	6.39E-05	1.68E-03
negative regulation of cellular response to growth factor stimulus (GO:0090288)	109	36	17.32	+	2.08	3.61E-04	7.65E-03
hair cycle (GO:0042633)	91	30	14.46	+	2.08	1.23E-03	2.22E-02
molting cycle (GO:0042303)	91	30	14.46	+	2.08	1.23E-03	2.22E-02
animal organ morphogenesis (GO:0009887)	956	315	151.88	+	2.07	2.16E-27	1.27E-24
proteoglycan metabolic process (GO:0006029)	85	28	13.50	+	2.07	1.43E-03	2.51E-02
epidermis development (GO:0008544)	422	139	67.04	+	2.07	1.72E-12	2.31E-10
associative learning (GO:0008306)	79	26	12.55	+	2.07	2.42E-03	3.75E-02
trans-synaptic signaling (GO:0099537)	432	142	68.63	+	2.07	8.26E-13	1.16E-10
striated muscle tissue development (GO:0014706)	286	94	45.44	+	2.07	6.97E-09	4.65E-07
regulation of transmembrane transporter activity (GO:0022898)	283	93	44.96	+	2.07	9.03E-09	5.90E-07
axon guidance (GO:0007411)	277	91	44.01	+	2.07	1.57E-08	9.59E-07
regulation of wound healing (GO:0061041)	131	43	20.81	+	2.07	8.94E-05	2.27E-03
camera-type eye morphogenesis (GO:0048593)	125	41	19.86	+	2.06	1.50E-04	3.61E-03
heart morphogenesis (GO:0003007)	241	79	38.29	+	2.06	1.15E-07	6.16E-06
embryonic limb morphogenesis (GO:0030326)	119	39	18.91	+	2.06	2.62E-04	5.79E-03
embryonic appendage morphogenesis (GO:0035113)	119	39	18.91	+	2.06	2.62E-04	5.78E-03
memory (GO:0007613)	119	39	18.91	+	2.06	2.62E-04	5.77E-03
eye development (GO:0001654)	364	119	57.83	+	2.06	8.16E-11	7.91E-09
negative regulation of blood vessel morphogenesis (GO:2000181)	104	34	16.52	+	2.06	6.69E-04	1.32E-02
renal system development (GO:0072001)	291	95	46.23	+	2.05	8.98E-09	5.89E-07
embryonic morphogenesis (GO:0048598)	570	186	90.56	+	2.05	4.80E-16	1.07E-13
sensory system development (GO:0048880)	374	122	59.42	+	2.05	5.69E-11	5.84E-09
keratinocyte differentiation (GO:0030216)	270	88	42.90	+	2.05	2.68E-08	1.61E-06
regulation of sodium ion transport (GO:0002028)	89	29	14.14	+	2.05	1.73E-03	2.89E-02
regulation of cation transmembrane transport (GO:1904062)	378	123	60.05	+	2.05	4.81E-11	5.14E-09
skeletal muscle tissue development (GO:0007519)	123	40	19.54	+	2.05	2.08E-04	4.79E-03
camera-type eye development (GO:0043010)	317	103	50.36	+	2.05	2.70E-09	1.99E-07
regulation of ion transmembrane transport (GO:0034765)	502	163	79.75	+	2.04	4.92E-14	8.55E-12
regulation of muscle system process (GO:0090257)	231	75	36.70	+	2.04	3.66E-07	1.71E-05
glial cell development (GO:0021782)	111	36	17.63	+	2.04	4.15E-04	8.70E-03
negative regulation of vasculature development (GO:1901343)	105	34	16.68	+	2.04	7.03E-04	1.38E-02
visual system development (GO:0150063)	368	119	58.47	+	2.04	1.51E-10	1.33E-08
regulation of transporter activity (GO:0032409)	300	97	47.66	+	2.04	9.34E-09	6.08E-07
regulation of synapse assembly (GO:0051963)	99	32	15.73	+	2.03	8.42E-04	1.60E-02
regulation of ion transport (GO:0043269)	703	227	111.69	+	2.03	4.73E-19	1.66E-16
modulation of chemical synaptic transmission (GO:0050804)	431	139	68.47	+	2.03	4.42E-12	5.51E-10
muscle tissue development (GO:0060537)	301	97	47.82	+	2.03	9.83E-09	6.32E-07
heart contraction (GO:0060047)	90	29	14.30	+	2.03	1.82E-03	3.03E-02
muscle cell development (GO:0055001)	146	47	23.20	+	2.03	8.08E-05	2.07E-03
roof of mouth development (GO:0060021)	87	28	13.82	+	2.03	2.41E-03	3.74E-02
regulation of trans-synaptic signaling (GO:0099177)	432	139	68.63	+	2.03	6.74E-12	8.01E-10
skeletal system development (GO:0001501)	479	154	76.10	+	2.02	4.52E-13	6.94E-11
formation of primary germ layer (GO:0001704)	112	36	17.79	+	2.02	4.51E-04	9.39E-03
embryonic placenta development (GO:0001892)	81	26	12.87	+	2.02	2.84E-03	4.29E-02
cardiac muscle cell differentiation (GO:0055007)	81	26	12.87	+	2.02	2.84E-03	4.29E-02
water homeostasis (GO:0030104)	81	26	12.87	+	2.02	2.84E-03	4.28E-02
negative regulation of angiogenesis (GO:0016525)	103	33	16.36	+	2.02	9.78E-04	1.81E-02
endothelium development (GO:0003158)	97	31	15.41	+	2.01	1.18E-03	2.13E-02
positive regulation of transmembrane transport (GO:0034764)	238	76	37.81	+	2.01	5.23E-07	2.29E-05
regulation of neurotransmitter secretion (GO:0046928)	91	29	14.46	+	2.01	1.95E-03	3.18E-02
sodium ion transport (GO:0006814)	176	56	27.96	+	2.00	1.91E-05	5.79E-04
muscle organ development (GO:0007517)	283	90	44.96	+	2.00	5.05E-08	2.86E-06
glial cell differentiation (GO:0010001)	173	55	27.49	+	2.00	2.50E-05	7.24E-04
urogenital system development (GO:0001655)	324	103	51.48	+	2.00	5.83E-09	3.94E-07
synaptic signaling (GO:0099536)	464	147	73.72	+	1.99	3.98E-12	5.04E-10
epidermal cell differentiation (GO:0009913)	322	102	51.16	+	1.99	8.01E-09	5.27E-07
kidney development (GO:0001822)	282	89	44.80	+	1.99	7.51E-08	4.16E-06
muscle contraction (GO:0006936)	241	76	38.29	+	1.98	9.06E-07	3.74E-05
regulation of nervous system process (GO:0031644)	146	46	23.20	+	1.98	1.24E-04	3.05E-03
regulation of response to wounding (GO:1903034)	162	51	25.74	+	1.98	5.20E-05	1.40E-03
axonogenesis (GO:0007409)	385	121	61.17	+	1.98	5.11E-10	4.23E-08
skeletal muscle organ development (GO:0060538)	134	42	21.29	+	1.97	2.49E-04	5.57E-03
vasculature development (GO:0001944)	514	161	81.66	+	1.97	6.98E-13	1.02E-10
forebrain development (GO:0030900)	387	121	61.48	+	1.97	5.75E-10	4.68E-08
cellular component assembly involved in morphogenesis (GO:0010927)	96	30	15.25	+	1.97	2.47E-03	3.80E-02
lung development (GO:0030324)	173	54	27.49	+	1.96	3.85E-05	1.08E-03
regulation of membrane potential (GO:0042391)	437	136	69.43	+	1.96	6.60E-11	6.57E-09
axon development (GO:0061564)	421	131	66.89	+	1.96	1.58E-10	1.39E-08
respiratory tube development (GO:0030323)	177	55	28.12	+	1.96	4.55E-05	1.25E-03
heart process (GO:0003015)	103	32	16.36	+	1.96	1.55E-03	2.66E-02
cardiac septum development (GO:0003279)	103	32	16.36	+	1.96	1.55E-03	2.66E-02
morphogenesis of an epithelium (GO:0002009)	441	137	70.06	+	1.96	5.52E-11	5.70E-09
respiratory system development (GO:0060541)	200	62	31.77	+	1.95	1.20E-05	3.76E-04
regulation of transmembrane transport (GO:0034762)	591	183	93.89	+	1.95	3.68E-14	6.54E-12
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	207	64	32.89	+	1.95	1.07E-05	3.40E-04
epithelial cell differentiation (GO:0030855)	686	212	108.99	+	1.95	3.65E-16	8.48E-14
muscle system process (GO:0003012)	288	89	45.76	+	1.95	2.08E-07	1.05E-05
neuron differentiation (GO:0030182)	1043	322	165.71	+	1.94	4.19E-24	2.07E-21
striated muscle contraction (GO:0006941)	107	33	17.00	+	1.94	1.81E-03	3.00E-02
tissue morphogenesis (GO:0048729)	545	168	86.59	+	1.94	5.81E-13	8.84E-11
blood vessel development (GO:0001568)	492	151	78.17	+	1.93	1.39E-11	1.56E-09
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	139	71.97	+	1.93	8.96E-11	8.53E-09
amine metabolic process (GO:0009308)	108	33	17.16	+	1.92	1.89E-03	3.12E-02
amino acid transport (GO:0006865)	118	36	18.75	+	1.92	1.32E-03	2.33E-02
gliogenesis (GO:0042063)	223	68	35.43	+	1.92	6.94E-06	2.34E-04
epithelial tube morphogenesis (GO:0060562)	309	94	49.09	+	1.91	1.59E-07	8.33E-06
positive regulation of chemotaxis (GO:0050921)	145	44	23.04	+	1.91	3.94E-04	8.29E-03
regulation of synaptic plasticity (GO:0048167)	188	57	29.87	+	1.91	4.97E-05	1.35E-03
regulation of signaling receptor activity (GO:0010469)	188	57	29.87	+	1.91	4.97E-05	1.35E-03
neuron projection morphogenesis (GO:0048812)	499	151	79.28	+	1.90	2.85E-11	3.15E-09
negative regulation of developmental growth (GO:0048640)	106	32	16.84	+	1.90	2.59E-03	3.96E-02
neuromuscular process (GO:0050905)	136	41	21.61	+	1.90	6.02E-04	1.20E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	151	79.91	+	1.89	4.81E-11	5.11E-09
anatomical structure formation involved in morphogenesis (GO:0048646)	883	265	140.29	+	1.89	1.39E-18	4.58E-16
blood vessel morphogenesis (GO:0048514)	410	123	65.14	+	1.89	3.32E-09	2.39E-07
positive regulation of angiogenesis (GO:0045766)	160	48	25.42	+	1.89	2.34E-04	5.27E-03
regulation of osteoblast differentiation (GO:0045667)	120	36	19.06	+	1.89	1.45E-03	2.53E-02
positive regulation of vasculature development (GO:1904018)	160	48	25.42	+	1.89	2.34E-04	5.26E-03
positive regulation of peptide secretion (GO:0002793)	110	33	17.48	+	1.89	2.13E-03	3.43E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	321	96	51.00	+	1.88	2.58E-07	1.26E-05
cell-substrate adhesion (GO:0031589)	184	55	29.23	+	1.88	9.12E-05	2.31E-03
angiogenesis (GO:0001525)	318	95	50.52	+	1.88	2.38E-07	1.18E-05
cell maturation (GO:0048469)	154	46	24.47	+	1.88	3.88E-04	8.17E-03
behavior (GO:0007610)	557	166	88.49	+	1.88	9.05E-12	1.04E-09
cell projection morphogenesis (GO:0048858)	507	151	80.55	+	1.87	8.08E-11	7.88E-09
response to corticosteroid (GO:0031960)	168	50	26.69	+	1.87	2.18E-04	4.97E-03
generation of neurons (GO:0048699)	1271	378	201.93	+	1.87	8.91E-26	4.86E-23
epithelium development (GO:0060429)	1113	331	176.83	+	1.87	1.52E-22	6.89E-20
negative regulation of nervous system development (GO:0051961)	148	44	23.51	+	1.87	4.66E-04	9.68E-03
learning or memory (GO:0007611)	256	76	40.67	+	1.87	5.50E-06	1.89E-04
tube morphogenesis (GO:0035239)	654	194	103.90	+	1.87	2.11E-13	3.41E-11
regulation of chemotaxis (GO:0050920)	226	67	35.91	+	1.87	2.34E-05	6.87E-04
regulation of peptide secretion (GO:0002791)	226	67	35.91	+	1.87	2.34E-05	6.86E-04
positive regulation of endothelial cell migration (GO:0010595)	108	32	17.16	+	1.86	2.92E-03	4.37E-02
neurogenesis (GO:0022008)	1391	412	220.99	+	1.86	5.47E-28	3.46E-25
anatomical structure maturation (GO:0071695)	196	58	31.14	+	1.86	7.01E-05	1.83E-03
tube development (GO:0035295)	856	253	136.00	+	1.86	4.56E-17	1.24E-14
cell-cell signaling (GO:0007267)	1131	334	179.69	+	1.86	2.05E-22	9.01E-20
response to glucocorticoid (GO:0051384)	149	44	23.67	+	1.86	6.79E-04	1.33E-02
cognition (GO:0050890)	298	88	47.34	+	1.86	1.01E-06	4.11E-05
calcium ion transmembrane transport (GO:0070588)	190	56	30.19	+	1.86	1.14E-04	2.83E-03
cellular component morphogenesis (GO:0032989)	611	180	97.07	+	1.85	2.48E-12	3.18E-10
learning (GO:0007612)	146	43	23.20	+	1.85	6.33E-04	1.25E-02
regulation of peptide transport (GO:0090087)	228	67	36.22	+	1.85	2.52E-05	7.30E-04
negative regulation of neurogenesis (GO:0050768)	143	42	22.72	+	1.85	8.03E-04	1.55E-02
regulation of hormone secretion (GO:0046883)	276	81	43.85	+	1.85	3.87E-06	1.37E-04
positive regulation of cytosolic calcium ion concentration (GO:0007204)	283	83	44.96	+	1.85	2.53E-06	9.50E-05
regulation of peptide hormone secretion (GO:0090276)	222	65	35.27	+	1.84	4.17E-05	1.16E-03
positive regulation of hormone secretion (GO:0046887)	137	40	21.77	+	1.84	1.32E-03	2.33E-02
amide transport (GO:0042886)	120	35	19.06	+	1.84	3.08E-03	4.54E-02
cell morphogenesis involved in differentiation (GO:0000904)	559	163	88.81	+	1.84	6.01E-11	6.09E-09
hindbrain development (GO:0030902)	151	44	23.99	+	1.83	7.38E-04	1.43E-02
cell-matrix adhesion (GO:0007160)	127	37	20.18	+	1.83	1.92E-03	3.15E-02
calcium ion transport (GO:0006816)	244	71	38.77	+	1.83	2.18E-05	6.49E-04
negative regulation of ion transport (GO:0043271)	148	43	23.51	+	1.83	9.46E-04	1.76E-02
tissue development (GO:0009888)	1729	502	274.69	+	1.83	1.48E-32	1.46E-29
cellular response to metal ion (GO:0071248)	200	58	31.77	+	1.83	1.16E-04	2.87E-03
circulatory system development (GO:0072359)	877	254	139.33	+	1.82	2.87E-16	6.87E-14
anatomical structure morphogenesis (GO:0009653)	2158	625	342.85	+	1.82	4.97E-41	7.85E-38
regulation of neurogenesis (GO:0050767)	364	105	57.83	+	1.82	2.88E-07	1.39E-05
muscle structure development (GO:0061061)	473	136	75.15	+	1.81	5.23E-09	3.58E-07
telencephalon development (GO:0021537)	254	73	40.35	+	1.81	2.16E-05	6.47E-04
cell part morphogenesis (GO:0032990)	526	151	83.57	+	1.81	6.81E-10	5.52E-08
divalent inorganic cation homeostasis (GO:0072507)	481	138	76.42	+	1.81	4.83E-09	3.33E-07
inorganic cation transmembrane transport (GO:0098662)	573	164	91.03	+	1.80	1.43E-10	1.28E-08
neuron development (GO:0048666)	846	242	134.41	+	1.80	5.01E-15	9.65E-13
central nervous system development (GO:0007417)	1000	286	158.87	+	1.80	1.41E-17	4.27E-15
regulation of cellular response to growth factor stimulus (GO:0090287)	299	85	47.50	+	1.79	6.06E-06	2.07E-04
regulation of angiogenesis (GO:0045765)	282	80	44.80	+	1.79	1.37E-05	4.26E-04
embryo development (GO:0009790)	991	281	157.44	+	1.78	6.06E-17	1.60E-14
negative regulation of cell development (GO:0010721)	180	51	28.60	+	1.78	4.88E-04	1.00E-02
regulation of vasculature development (GO:1901342)	286	81	45.44	+	1.78	1.11E-05	3.54E-04
morphogenesis of embryonic epithelium (GO:0016331)	145	41	23.04	+	1.78	1.78E-03	2.96E-02
striated muscle cell differentiation (GO:0051146)	191	54	30.34	+	1.78	3.50E-04	7.47E-03
cellular divalent inorganic cation homeostasis (GO:0072503)	460	130	73.08	+	1.78	2.69E-08	1.61E-06
neuron projection development (GO:0031175)	691	195	109.78	+	1.78	6.53E-12	7.82E-10
positive regulation of protein kinase B signaling (GO:0051897)	181	51	28.76	+	1.77	5.13E-04	1.05E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	167	47	26.53	+	1.77	9.07E-04	1.70E-02
cell adhesion (GO:0007155)	953	268	151.41	+	1.77	8.18E-16	1.72E-13
response to steroid hormone (GO:0048545)	285	80	45.28	+	1.77	1.55E-05	4.75E-04
biological adhesion (GO:0022610)	959	269	152.36	+	1.77	9.76E-16	2.03E-13
gastrulation (GO:0007369)	157	44	24.94	+	1.76	1.34E-03	2.36E-02
cell morphogenesis (GO:0000902)	715	200	113.59	+	1.76	6.85E-12	8.09E-10
inorganic ion transmembrane transport (GO:0098660)	637	178	101.20	+	1.76	1.33E-10	1.20E-08
cation transmembrane transport (GO:0098655)	641	179	101.84	+	1.76	1.09E-10	1.02E-08
regulation of ERK1 and ERK2 cascade (GO:0070372)	294	82	46.71	+	1.76	1.46E-05	4.54E-04
tube formation (GO:0035148)	147	41	23.35	+	1.76	2.64E-03	4.03E-02
heart development (GO:0007507)	535	149	85.00	+	1.75	4.93E-09	3.38E-07
placenta development (GO:0001890)	144	40	22.88	+	1.75	2.50E-03	3.83E-02
aminoglycan metabolic process (GO:0006022)	166	46	26.37	+	1.74	1.27E-03	2.26E-02
developmental maturation (GO:0021700)	235	65	37.34	+	1.74	1.80E-04	4.23E-03
regulation of endothelial cell migration (GO:0010594)	170	47	27.01	+	1.74	1.38E-03	2.43E-02
glycosaminoglycan metabolic process (GO:0030203)	152	42	24.15	+	1.74	2.24E-03	3.54E-02
positive regulation of MAPK cascade (GO:0043410)	525	145	83.41	+	1.74	1.34E-08	8.34E-07
metal ion transport (GO:0030001)	326	90	51.79	+	1.74	9.87E-06	3.18E-04
cation transport (GO:0006812)	824	227	130.91	+	1.73	8.32E-13	1.15E-10
regulation of nervous system development (GO:0051960)	443	122	70.38	+	1.73	2.29E-07	1.14E-05
regulation of secretion by cell (GO:1903530)	581	160	92.31	+	1.73	2.60E-09	1.93E-07
muscle cell differentiation (GO:0042692)	247	68	39.24	+	1.73	1.32E-04	3.20E-03
taxis (GO:0042330)	550	151	87.38	+	1.73	1.02E-08	6.50E-07
response to calcium ion (GO:0051592)	153	42	24.31	+	1.73	2.36E-03	3.67E-02
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	253	69	40.19	+	1.72	1.57E-04	3.73E-03
chemotaxis (GO:0006935)	547	149	86.90	+	1.71	1.79E-08	1.09E-06
mesenchyme development (GO:0060485)	224	61	35.59	+	1.71	3.49E-04	7.46E-03
regulation of secretion (GO:0051046)	639	174	101.52	+	1.71	1.00E-09	7.90E-08
multicellular organismal homeostasis (GO:0048871)	364	99	57.83	+	1.71	5.74E-06	1.97E-04
regulation of developmental growth (GO:0048638)	320	87	50.84	+	1.71	2.17E-05	6.48E-04
cell junction organization (GO:0034330)	502	136	79.75	+	1.71	9.29E-08	5.08E-06
cellular calcium ion homeostasis (GO:0006874)	425	115	67.52	+	1.70	9.68E-07	3.95E-05
regulation of insulin secretion (GO:0050796)	189	51	30.03	+	1.70	1.25E-03	2.25E-02
calcium ion homeostasis (GO:0055074)	438	118	69.59	+	1.70	9.65E-07	3.94E-05
regulation of calcium ion transmembrane transport (GO:1903169)	156	42	24.78	+	1.69	3.48E-03	4.99E-02
nervous system development (GO:0007399)	2218	597	352.38	+	1.69	1.90E-31	1.77E-28
negative regulation of growth (GO:0045926)	249	67	39.56	+	1.69	2.64E-04	5.82E-03
brain development (GO:0007420)	759	204	120.58	+	1.69	8.34E-11	8.04E-09
positive regulation of neurogenesis (GO:0050769)	227	61	36.06	+	1.69	5.16E-04	1.05E-02
cell development (GO:0048468)	1646	442	261.51	+	1.69	1.20E-22	5.76E-20
ion transmembrane transport (GO:0034220)	870	233	138.22	+	1.69	5.10E-12	6.20E-10
regulation of hormone levels (GO:0010817)	538	144	85.47	+	1.68	9.08E-08	4.98E-06
negative regulation of developmental process (GO:0051093)	879	235	139.65	+	1.68	4.69E-12	5.79E-10
negative regulation of cell differentiation (GO:0045596)	644	172	102.31	+	1.68	4.02E-09	2.82E-07
regulation of synapse structure or activity (GO:0050803)	221	59	35.11	+	1.68	6.19E-04	1.23E-02
second-messenger-mediated signaling (GO:0019932)	221	59	35.11	+	1.68	6.19E-04	1.23E-02
head development (GO:0060322)	803	214	127.58	+	1.68	5.36E-11	5.61E-09
response to metal ion (GO:0010038)	379	101	60.21	+	1.68	8.56E-06	2.79E-04
regulation of cell development (GO:0060284)	500	133	79.44	+	1.67	3.04E-07	1.45E-05
animal organ development (GO:0048513)	3220	856	511.57	+	1.67	1.59E-45	4.20E-42
positive regulation of secretion (GO:0051047)	317	84	50.36	+	1.67	6.90E-05	1.81E-03
regulation of epithelial cell proliferation (GO:0050678)	340	90	54.02	+	1.67	3.63E-05	1.02E-03
regulation of anatomical structure size (GO:0090066)	514	136	81.66	+	1.67	3.10E-07	1.47E-05
bone development (GO:0060348)	189	50	30.03	+	1.67	2.32E-03	3.64E-02
positive regulation of secretion by cell (GO:1903532)	288	76	45.76	+	1.66	1.54E-04	3.69E-03
synapse organization (GO:0050808)	289	76	45.91	+	1.66	1.60E-04	3.79E-03
positive regulation of nervous system development (GO:0051962)	274	72	43.53	+	1.65	2.68E-04	5.91E-03
epithelial cell development (GO:0002064)	202	53	32.09	+	1.65	1.75E-03	2.93E-02
ossification (GO:0001503)	267	70	42.42	+	1.65	3.12E-04	6.75E-03
positive regulation of cell differentiation (GO:0045597)	840	220	133.45	+	1.65	1.25E-10	1.15E-08
regulation of calcium ion transport (GO:0051924)	252	66	40.04	+	1.65	5.24E-04	1.07E-02
multi-multicellular organism process (GO:0044706)	210	55	33.36	+	1.65	1.56E-03	2.67E-02
system development (GO:0048731)	4330	1126	687.92	+	1.64	1.35E-59	2.13E-55
ion transport (GO:0006811)	1200	312	190.65	+	1.64	1.94E-14	3.57E-12
reproductive structure development (GO:0048608)	416	108	66.09	+	1.63	1.13E-05	3.58E-04
